File,aid,Date,(1) Evergreen Needleleaf Forests,(2) Evergreen Broadleaf Forests,(4) Deciduous Broadleaf Forests,(5) Mixed Forests,(8) Woody Savannas,(9) Savannas,(10) Grasslands,(11) Permanent Wetlands,(12) Croplands,(13) Urban and Built-up Lands,(14) Cropland/Natural Vegetation Mosaic,(16) Barren,(17) Water Bodies
LC_Type1_2018001_aid0118,aid0118,2018-01-01,,,,,2.0,,,,6.0,,78.0,,
LC_Type1_2018001_aid0119,aid0119,2018-01-01,,,,,31.0,,3.0,,2.0,,49.0,,
LC_Type1_2018001_aid0120,aid0120,2018-01-01,,4.0,,,468.0,3.0,31.0,,,,3.0,,
LC_Type1_2018001_aid0121,aid0121,2018-01-01,,,,,2.0,,1.0,,,,43.0,,
LC_Type1_2018001_aid0122,aid0122,2018-01-01,,,,,163.0,,,,,,,,
LC_Type1_2018001_aid0123,aid0123,2018-01-01,,,,,87.0,,,,,,25.0,,
LC_Type1_2018001_aid0124,aid0124,2018-01-01,,,,,40.0,,1.0,,3.0,,34.0,,
LC_Type1_2018001_aid0125,aid0125,2018-01-01,,,,,10.0,,,,,,67.0,,
LC_Type1_2018001_aid0126,aid0126,2018-01-01,,7.0,,,107.0,,4.0,,,,,,
LC_Type1_2018001_aid0127,aid0127,2018-01-01,,,,,30.0,,,,,,3.0,,
LC_Type1_2018001_aid0128,aid0128,2018-01-01,,2.0,,,85.0,,,,,,,,
LC_Type1_2018001_aid0129,aid0129,2018-01-01,,1.0,,,32.0,,,,,,,,
LC_Type1_2018001_aid0130,aid0130,2018-01-01,,1.0,,,61.0,,,,,,,,
LC_Type1_2018001_aid0131,aid0131,2018-01-01,,,,,7.0,,,,1.0,,52.0,,
LC_Type1_2018001_aid0132,aid0132,2018-01-01,,1.0,,,56.0,,1.0,,,,,,
LC_Type1_2018001_aid0133,aid0133,2018-01-01,,7.0,,,57.0,,1.0,,,,,,
LC_Type1_2018001_aid0134,aid0134,2018-01-01,,1.0,,,135.0,,1.0,,,,,,
LC_Type1_2018001_aid0135,aid0135,2018-01-01,,,,,77.0,,3.0,,1.0,,14.0,,
LC_Type1_2018001_aid0136,aid0136,2018-01-01,,2.0,,,59.0,,1.0,,,,,,
LC_Type1_2018001_aid0137,aid0137,2018-01-01,,,,,83.0,,,,,,,,
LC_Type1_2018001_aid0138,aid0138,2018-01-01,,4.0,,,47.0,,,,,,,,
LC_Type1_2018001_aid0139,aid0139,2018-01-01,,26.0,,,121.0,,,,,,,,
LC_Type1_2018001_aid0140,aid0140,2018-01-01,,62.0,,,59.0,,,,,,,,
LC_Type1_2018001_aid0141,aid0141,2018-01-01,,97.0,,,97.0,,,8.0,,,,,2.0
LC_Type1_2018001_aid0142,aid0142,2018-01-01,,,,,8.0,1.0,,4.0,,,,,4.0
LC_Type1_2018001_aid0143,aid0143,2018-01-01,,51.0,,,45.0,,,2.0,,,,,
LC_Type1_2018001_aid0144,aid0144,2018-01-01,,276.0,,,349.0,,16.0,,,,,,
LC_Type1_2018001_aid0145,aid0145,2018-01-01,,31.0,,,109.0,,,,,,,,
LC_Type1_2018001_aid0146,aid0146,2018-01-01,,5.0,,,28.0,,,,,,,,
LC_Type1_2018001_aid0147,aid0147,2018-01-01,,15.0,,,4.0,,,6.0,,,,,4.0
LC_Type1_2018001_aid0148,aid0148,2018-01-01,,8.0,,,9.0,,,3.0,,,,,2.0
LC_Type1_2018001_aid0149,aid0149,2018-01-01,,2.0,,,54.0,,14.0,9.0,,,,,7.0
LC_Type1_2018001_aid0150,aid0150,2018-01-01,,8.0,,,31.0,,,,,,,,
LC_Type1_2018001_aid0151,aid0151,2018-01-01,,1.0,,,2.0,,,,,,,,1.0
LC_Type1_2018001_aid0152,aid0152,2018-01-01,,3.0,,,13.0,2.0,,3.0,,,1.0,,
LC_Type1_2018001_aid0153,aid0153,2018-01-01,,4.0,,,,,,3.0,,,,,1.0
